"Name","Chest"
"String","String"
"MainCycle","Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Giant"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"Silver"
,"Silver"
,"Gold"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"TowerTroopCycleChest"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Giant"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Giant"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"TowerTroopCycleChest"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Giant"
,"TowerTroopCycleChest"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
"Quest_earlygame_1","Gold"
,"Magic"
,"Gold"
,"Giant"
"Quest_earlygame_2","Gold"
,"Giant"
,"Gold"
,"Magic"
"Quest_lategame_1","Gold"
,"Magic"
,"Gold"
,"Giant"
,"Legendary"
,"Gold"
,"Giant"
,"Gold"
,"SuperLightning"
,"Magic"
,"Gold"
,"Epic"
"Quest_lategame_2","Gold"
,"Magic"
,"Gold"
,"Legendary"
,"Giant"
,"Gold"
,"SuperLightning"
,"Gold"
,"Giant"
,"Gold"
,"Epic"
,"Magic"
"Quest_lategame_3","Gold"
,"Magic"
,"Gold"
,"Giant"
,"Gold"
,"SuperLightning"
,"Gold"
,"Magic"
,"Epic"
,"Gold"
,"Legendary"
,"Giant"
"Quest_lategame_4","Gold"
,"Magic"
,"Gold"
,"Giant"
,"Legendary"
,"Gold"
,"Epic"
,"Gold"
,"SuperLightning"
,"Gold"
,"Magic"
,"Giant"
"Quest_lategame_5","Gold"
,"Giant"
,"Legendary"
,"Gold"
,"Magic"
,"Gold"
,"SuperLightning"
,"Gold"
,"Epic"
,"Magic"
,"Gold"
,"Giant"
"Quest_lategame_6","Gold"
,"Giant"
,"Gold"
,"Magic"
,"Legendary"
,"Gold"
,"Magic"
,"Gold"
,"SuperLightning"
,"Gold"
,"Epic"
,"Giant"
"Quest_lategame_7","Gold"
,"Giant"
,"SuperLightning"
,"Gold"
,"Giant"
,"Gold"
,"Magic"
,"Gold"
,"Epic"
,"Magic"
,"Gold"
,"Legendary"
"Quest_lategame_8","Gold"
,"Giant"
,"Epic"
,"Gold"
,"SuperLightning"
,"Gold"
,"Giant"
,"Gold"
,"Magic"
,"Legendary"
,"Gold"
,"Magic"
"Quest_lategame_9","Gold"
,"SuperLightning"
,"Gold"
,"Giant"
,"Gold"
,"Magic"
,"Legendary"
,"Gold"
,"Epic"
,"Gold"
,"Giant"
,"Magic"
"Quest_lategame_10","Gold"
,"Legendary"
,"Gold"
,"Magic"
,"Giant"
,"Gold"
,"SuperLightning"
,"Gold"
,"Epic"
,"Gold"
,"Magic"
,"Giant"
"Quest_arena3_UNUSED","SuperLightning"
"MainCycleKL13","Gold"
,"Giant"
,"Gold"
,"GoldCage_Small"
,"TowerTroopCycleChest"
,"Gold"
,"Gold"
,"Gold"
,"GoldCage_Medium"
,"Gold"
,"Gold"
,"GoldCage_Small"
,"GoldCage_Large"
,"TowerTroopCycleChest"
,"Gold"
,"Silver"
,"Gold"
,"Gold"
,"GoldCage_Small"
,"Gold"
,"Gold"
,"Gold"
