"Name","TID","TemplateIndex","DataUniqueId","LeagueIndex","DivisionIndex","RequiredWins","LossSubtraction","CardLevelCap","GameMode","IsEloBased","ShowGameModeIcon","WinsToCreateFloor","SeasonResetWinMultiplier","ShouldCountWinRateForInitialElo","IconSWF","IconExportName","ListIconExportName","UnlockReward","UnlockRewardAmount","OneTimeReward","OneTimeRewardAmount","EndOfSeasonReward","EndOfSeasonRewardAmount","LeagueDividerExportName","MatchmakingMinScoreDelta","MatchmakingMaxScoreDelta","MatchmakingMaxSeconds","SmallIconExportName"
"string","string","Int","Int","Int","Int","Int","Int","Int","String","Boolean","Boolean","Int","Int","Boolean","String","String","String","String","Int","String","Int","String","Int","String","Int","Int","Int","String"
"Template_1_Ranked1.1","TID_RANKED_LEAGUE_1",1,0,0,0,0,0,11,"PickMode_Tournament","FALSE","TRUE",1,1,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","Gold",3000,,,,,"divider_league",1,10,60,"league_list_icon_001"
"Template_1_Ranked1.2","TID_RANKED_LEAGUE_1",1,23,0,1,2,0,11,"PickMode_Tournament","FALSE","TRUE",,,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","WildcardCommon",250,,,,,,1,10,60,"league_list_icon_001"
"Template_1_Ranked1.3","TID_RANKED_LEAGUE_1",1,1,0,2,5,0,11,"PickMode_Tournament","FALSE","TRUE",,,,"sc/ui_league_badges.sc","league_badge_001","league_badge_001_nofx","Gold",3000,,,,,,1,10,60,"league_list_icon_001"
"Template_1_Ranked2.1","TID_RANKED_LEAGUE_2",1,2,1,0,7,1,11,"PickMode_Tournament","FALSE","TRUE",3,2,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","Gold",6000,"Chest_Giant_Arena_L1",1,,,"divider_league",2,10,60,"league_list_icon_002"
"Template_1_Ranked2.2","TID_RANKED_LEAGUE_2",1,3,1,1,9,1,11,"PickMode_Tournament","FALSE","TRUE",,,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","WildcardRare",50,,,,,,2,10,60,"league_list_icon_002"
"Template_1_Ranked2.3","TID_RANKED_LEAGUE_2",1,4,1,2,11,1,11,"PickMode_Tournament","FALSE","TRUE",,,,"sc/ui_league_badges.sc","league_badge_002","league_badge_002_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_002"
"Template_1_Ranked3.1","TID_RANKED_LEAGUE_3",1,5,2,0,13,1,11,"PickMode_Tournament","FALSE","TRUE",4,3,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","WildcardEpic",10,"Gold",15000,,,"divider_league",2,10,60,"league_list_icon_003"
"Template_1_Ranked3.2","TID_RANKED_LEAGUE_3",1,24,2,1,15,1,11,"PickMode_Tournament","FALSE","TRUE",,,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","Gold",3000,,,,,,2,10,60,"league_list_icon_003"
"Template_1_Ranked3.3","TID_RANKED_LEAGUE_3",1,6,2,2,18,1,11,"PickMode_Tournament","FALSE","TRUE",,,,"sc/ui_league_badges.sc","league_badge_003","league_badge_003_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_003"
"Template_1_Ranked4.1","TID_RANKED_LEAGUE_4",1,7,3,0,21,1,11,"PickMode_Tournament","FALSE","TRUE",5,4,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","Emote_EmoteChronos101",1,"Chest_Magic_Arena_L1",1,,,"divider_league",2,10,60,"league_list_icon_004"
"Template_1_Ranked4.2","TID_RANKED_LEAGUE_4",1,8,3,1,23,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","WildcardLegendary",1,,,,,,2,10,60,"league_list_icon_004"
"Template_1_Ranked4.3","TID_RANKED_LEAGUE_4",1,9,3,2,26,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_004","league_badge_004_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_004"
"Template_1_Ranked5.1","TID_RANKED_LEAGUE_5",1,10,4,0,29,1,11,"PickMode_Tournament","FALSE","TRUE",6,5,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","WildcardChampion",1,"Gold",20000,,,"divider_league",2,10,60,"league_list_icon_005"
"Template_1_Ranked5.2","TID_RANKED_LEAGUE_5",1,11,4,1,32,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_005"
"Template_1_Ranked5.3","TID_RANKED_LEAGUE_5",1,12,4,2,36,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_005","league_badge_005_nofx","WildcardCommon",250,,,,,,2,10,60,"league_list_icon_005"
"Template_1_Ranked6.1","TID_RANKED_LEAGUE_6",1,13,5,0,40,1,11,"PickMode_Tournament","FALSE","TRUE",7,6,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","Gold",6000,"Chest_Shop_Small_1_Arena_L1",1,,,"divider_league",2,10,60,"league_list_icon_006"
"Template_1_Ranked6.2","TID_RANKED_LEAGUE_6",1,14,5,1,42,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","WildcardRare",50,,,,,,2,10,60,"league_list_icon_006"
"Template_1_Ranked6.3","TID_RANKED_LEAGUE_6",1,15,5,2,45,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_006","league_badge_006_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_006"
"Template_1_Ranked7.1","TID_RANKED_LEAGUE_7",1,16,6,0,49,1,11,"PickMode_Tournament","FALSE","TRUE",-1,7,"TRUE","sc/ui_league_badges.sc","league_badge_007","league_badge_007_nofx","WildcardEpic",10,"Gold",25000,,,"divider_league",2,10,60,"league_list_icon_007"
"Template_1_Ranked7.2","TID_RANKED_LEAGUE_7",1,17,6,1,53,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_007","league_badge_007_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_007"
"Template_1_Ranked8.1","TID_RANKED_LEAGUE_8",1,18,7,0,57,1,11,"PickMode_Tournament","FALSE","TRUE",-1,8,"TRUE","sc/ui_league_badges.sc","league_badge_008","league_badge_008_nofx","WildcardLegendary",1,"Chest_Shop_Large_Legendary_Arena_L1",1,,,"divider_league",2,10,60,"league_list_icon_008"
"Template_1_Ranked8.2","TID_RANKED_LEAGUE_8",1,19,7,1,60,1,11,"PickMode_Tournament","FALSE","TRUE",,,"TRUE","sc/ui_league_badges.sc","league_badge_008","league_badge_008_nofx","Gold",6000,,,,,,2,10,60,"league_list_icon_008"
"Template_1_Ranked9.1","TID_RANKED_LEAGUE_9",1,20,8,0,65,1,11,"PickMode_Tournament","FALSE","TRUE",-1,9,"TRUE","sc/ui_league_badges.sc","league_badge_009","league_badge_009_nofx","WildcardChampion",1,"Gold",30000,,,"divider_league",2,10,60,"league_list_icon_009"
